POWER_DEMAND,datetime,tempmax,tempmin,temp,humidity,windspeed,solarradiation
5993,2022-05-01,40,28.2,33.9,32.4,22.3,307.4
6123,2022-05-02,40,28.4,34.1,41.7,22.3,306.3
6127,2022-05-03,37.7,29,33.2,49.2,20.5,304.1
6121,2022-05-04,37.2,24,31.1,54.8,27.7,288.3
5371,2022-05-05,37,23.5,30,53.2,9.8,306
5463,2022-05-06,38,25.7,32.3,44.5,17.9,281
5426,2022-05-07,39.3,27.3,33.4,36.2,11.2,312.4
5762,2022-05-08,40,27.5,33.6,39.6,18.4,315.1
6057,2022-05-09,39.3,28.5,33.8,45.3,20.5,312.8
6189,2022-05-10,38.9,29.8,33.8,45.9,22.3,307.5
6520,2022-05-11,40.4,29,34.6,44.4,14.8,307.9
6752,2022-05-12,43,30,35.9,41.8,16.6,310.4
6781,2022-05-13,44,28.8,35,45.9,18.4,317.4
6714,2022-05-14,44,29,37.2,28.4,18.3,324.8
6631,2022-05-15,45.3,27.6,37,21.3,20,321.6
6686,2022-05-16,41.6,31.3,37.4,18.1,20.6,256.8
6679,2022-05-17,42,28.4,34.6,31.2,13,319.6
6657,2022-05-18,41,31.6,35.8,31,27.7,318.8
7008,2022-05-19,43,28.8,36.2,32.6,14.8,320.5
6815,2022-05-20,44.1,29.6,37,30.6,27.7,319.7
6412,2022-05-21,42.2,26.7,34.8,30.8,26.9,275.7
5935,2022-05-22,39.2,24.6,32.2,44.9,20.5,316.6
6052,2022-05-23,31,18,25.7,71.2,40.7,286.7
4462,2022-05-24,32,20,26.3,75.1,63,315.8
4771,2022-05-25,33.8,24.6,29.1,66.6,13,316
5115,2022-05-26,36,25,30.6,59.1,11.2,317.1
5680,2022-05-27,38.8,27,32.4,50.5,28.2,311.7
6133,2022-05-28,40,28.2,34.4,46.6,13,308.4
5967,2022-05-29,41,29,34,50.4,14.8,324.7
6357,2022-05-30,39.8,25.1,31.4,59.4,16.6,324
6115,2022-05-31,39.2,24.5,32.9,49.2,9.4,332.5
6091,2022-06-01,41.8,26.8,35,38.7,11.2,328.4
6442,2022-06-02,41.5,28.7,35.4,32.8,10.8,330.8
6518,2022-06-03,43.2,27.2,35.6,28.5,15.4,333.7
6543,2022-06-04,45,29.3,36.5,27,16.6,333.5
6576,2022-06-05,44,30.5,37.3,20.8,17.4,326.1
6692,2022-06-06,44,29,36.8,23.8,18,328.3
6797,2022-06-07,43.2,30.8,37.3,22.2,23.2,325.5
6824,2022-06-08,44,31.9,37.3,21.5,29.6,325.3
7048,2022-06-09,44,30.2,37.5,24.6,16.3,319.6
7089,2022-06-10,43.2,32,37.8,26.1,30.4,321.3
0,2022-06-11,44,32.1,37.7,22.1,27.4,322.1
6935,2022-06-12,43,32,37.7,24.7,21.1,323.7
7202,2022-06-13,43,33.2,37.6,29.2,16.6,315.5
7139,2022-06-14,39.2,32,35.3,38,21.4,311.5
7227,2022-06-15,42,30,36.1,39.3,23,314.6
7187,2022-06-16,39.6,28.2,34.1,46.1,23.2,264.5
6708,2022-06-17,36,25,29.2,70.8,19.3,269.7
5325,2022-06-18,32,26.1,28.9,74.1,18,129.4
0,2022-06-19,31,25.2,28.3,74.4,16.6,279.4
5010,2022-06-20,32.3,25,29,65.6,14.4,318.5
5273,2022-06-21,34,26.3,30.2,61.2,18.4,304.5
5536,2022-06-22,38,25,31,59.3,18.4,313
5587,2022-06-23,38,27.2,33.1,48.1,20.5,322.6
5614,2022-06-24,40,27,33.3,38.6,14.8,332.7
5790,2022-06-25,40,26.8,34.3,34.8,14.8,331.1
6700,2022-06-26,39.9,29.9,35,48,24.1,303.8
7168,2022-06-27,39.9,31.2,35.7,51.1,18.4,269
7528,2022-06-28,41,31.5,35.9,53.1,16.6,273.2
7770,2022-06-29,40,30.3,34.9,53.8,18.4,215.3
